Enew,Eold
150.318,123.558
131.042,150.318
156.287,131.042
182.878,156.287
173.716,182.878
196.793,173.716
167.742,196.793
195.329,167.742
174.068,195.329
151.211,174.068
134.782,151.211
98.5027,134.782
126.407,98.5027
122.219,126.407
201.749,122.219
133.833,201.749
151.091,133.833
162.952,151.091
154.29,162.952
191.73,154.29
149.945,191.73
125.363,149.945
190.681,125.363
155.513,190.681
168.377,155.513
149.493,168.377
112.616,149.493
150.284,112.616
142.407,150.284
134.419,142.407
136.612,134.419
122.795,136.612
142.485,122.795
151.363,142.485
117.121,151.363
132.472,117.121
195.519,132.472
160.723,195.519
114.976,160.723
131.427,114.976
146.244,131.427
150.696,146.244
147.794,150.696
157.712,147.794
203.729,157.712
141.245,203.729
189.242,141.245
149.405,189.242
106.757,149.405
108.846,106.757
159.693,108.846
163.027,159.693
156.394,163.027
183.552,156.394
179.365,183.552
138.874,179.365
171.149,138.874
185.44,171.149
184.61,185.44
139.445,184.61
161.863,139.445
157.638,161.863
107.513,157.638
126.472,107.513
170.791,126.472
199.376,170.791
163.348,199.376
166.786,163.348
152.518,166.786
200.624,152.518
164.546,200.624
169.896,164.546
144.71,169.896
138.135,144.71
136.11,138.135
147.396,136.11
135.535,147.396
145.525,135.535
175.925,145.525
119.559,175.925
181.528,119.559
167.99,181.528
206.953,167.99
149.73,206.953
135.884,149.73
114.23,135.884
121.805,114.23
126.69,121.805
143.857,126.69
145.983,143.857
142.521,145.983
155.541,142.521
111.469,155.541
140.242,111.469
145.698,140.242
165.905,145.698
148.309,165.905
141.494,148.309
141.465,141.494
145.484,141.465
145.287,145.484
145.752,145.287
148.322,145.752
180.116,148.322
138.107,180.116
144.648,138.107
162.64,144.648
165.348,162.64
132.371,165.348
160.691,132.371
149.959,160.691
143.771,149.959
123.098,143.771
150.603,123.098
143.126,150.603
153.963,143.126
163.435,153.963
255.142,163.435
186.675,255.142
132.268,186.675
170.742,132.268
155.679,170.742
174.615,155.679
145.493,174.615
140.607,145.493
170.217,140.607
125.21,170.217
141.773,125.21
167.016,141.773
159.734,167.016
153.158,159.734
169.028,153.158
150.698,169.028
